id,title,author,issue,volume,venue,page,pub_date,type,publisher,editor,omid,doi,pmid,other_id,pub_year,pub_month,pub_day
omid:br/061104033530 doi:10.1038/s41564-023-01419-6,D-Amino Acids Signal A Stress-Dependent Run-Away Response In Vibrio Cholerae,"Alvarez, Laura, Berntsson, Ronnie P.-A., Cava, Felipe, Colin, Remy, Irazoki, Oihane, Mateus, Andr, Savitski, Mikhail M., Sourjik, Victor, Typas, Athanasios, Ter Beek, Josy",8,8.0,Nature Microbiology,1549-1560,2023-06-26,journal article,Springer Science And Business Media Llc,,omid:br/061104033530,doi:10.1038/s41564-023-01419-6,,,2023.0,6.0,26.0
omid:br/061104033612 doi:10.1002/tie.22351,Gender And Climate Change: A Sustainable Tourism Perspective,"Ratten, Vanessa",,,Thunderbird International Business Review,,2023-05-05,journal article,Wiley,,omid:br/061104033612,doi:10.1002/tie.22351,,,2023.0,5.0,5.0
omid:br/061104033439 doi:10.1038/s41564-023-01377-z,Chloroquine Resistance Evolution In Plasmodium Falciparum Is Mediated By The Putative Amino Acid Transporter AAT1,"Amambua-Ngwa, Alfred, Amato, Roberto, Anderson, Timothy J.C., Avery, Simon V., Brenneman, Katelyn Vendrely, Button-Simons, Katrina A., Checkley, Lisa A., Cheeseman, Ian H., Conway, David J., Dalhoff, Haley, Delgado, Elizabeth, DAlessandro, Umberto, Ferdig, Michael T., Ferrari, Marco, Haile, Meseret T., Kappe, Stefan H. I., Kumar, Sudhir, Kwiatkowski, Dominic, Larbalestier, James K., Li, Xue, McDew-White, Marina, Nosten, Franois H., Pearson, Richard D., Reyes, Ann, Shoue, Douglas A., Taylor, Alexander B., Tindall, Sarah M., Vaughan, Ashley M.",7,8.0,Nature Microbiology,1213-1226,2023-05-11,journal article,Springer Science And Business Media Llc,,omid:br/061104033439,doi:10.1038/s41564-023-01377-z,,,2023.0,5.0,11.0
omid:br/061104033565 doi:10.1038/s41564-023-01344-8,SARS-CoV-2 Restructures Host Chromatin Architecture,"Chen, Yi-Ting, Eltzschig, Holger K., Gilbert, David M., Hasani, Lana Al, Kim, Jieun, Krakowiak, Joanna, Lee, Joo-Hyung, Li, Wenbo, Shi, Yuqiang, Shivshankar, Pooja, Simpson, Erin N., Wang, Ruoyu, Wang, Yanyu, Xiong, Feng, Yuan, Xiaoyi, Zhu, Xiaoyu",4,8.0,Nature Microbiology,679-694,2023-03-23,journal article,Springer Science And Business Media Llc,,omid:br/061104033565,doi:10.1038/s41564-023-01344-8,,,2023.0,3.0,23.0
omid:br/06502655071 doi:10.1017/9781108674256.005,"Philos Mastery, Plotinuss Play, And The Mystics Joy",,,,The Joy Of Religion,93-122,2020-01-09,book chapter,Cambridge University Press (Cup),,omid:br/06502655071,doi:10.1017/9781108674256.005,,,2020.0,1.0,9.0
omid:br/06502655078 doi:10.1017/9781108674256.011,Bibliography,,,,The Joy Of Religion,220-244,2020-01-09,book chapter,Cambridge University Press (Cup),,omid:br/06502655078,doi:10.1017/9781108674256.011,,,2020.0,1.0,9.0
omid:br/06502655129 doi:10.1017/9781108674256.003,The Nature And Cultivation Of Complex Pleasure,,,,The Joy Of Religion,40-61,2020-01-09,book chapter,Cambridge University Press (Cup),,omid:br/06502655129,doi:10.1017/9781108674256.003,,,2020.0,1.0,9.0
omid:br/06502655059 doi:10.1017/9781108674256.001,Introduction,,,,The Joy Of Religion,1-16,2020-01-09,book chapter,Cambridge University Press (Cup),,omid:br/06502655059,doi:10.1017/9781108674256.001,,,2020.0,1.0,9.0
omid:br/06502655101 doi:10.1017/9781108674256.006,"Pleasure, Play, And Magical Thinking",,,,The Joy Of Religion,123-143,2020-01-09,book chapter,Cambridge University Press (Cup),,omid:br/06502655101,doi:10.1017/9781108674256.006,,,2020.0,1.0,9.0
omid:br/06502655031 doi:10.1017/9781108674256.012,Index,,,,The Joy Of Religion,245-256,2020-01-09,book chapter,Cambridge University Press (Cup),,omid:br/06502655031,doi:10.1017/9781108674256.012,,,2020.0,1.0,9.0
omid:br/06502655221 doi:10.1017/9781108674256.008,Narratives And Rituals Of Pleasure,,,,The Joy Of Religion,170-194,2020-01-09,book chapter,Cambridge University Press (Cup),,omid:br/06502655221,doi:10.1017/9781108674256.008,,,2020.0,1.0,9.0
omid:br/06502655125 doi:10.1017/9781108674256.010,Conclusion,,,,The Joy Of Religion,216-219,2020-01-09,book chapter,Cambridge University Press (Cup),,omid:br/06502655125,doi:10.1017/9781108674256.010,,,2020.0,1.0,9.0
omid:br/06502655214 doi:10.1017/9781108674256.009,A Scholars Shabbat In Central Virginia,,,,The Joy Of Religion,195-215,2020-01-09,book chapter,Cambridge University Press (Cup),,omid:br/06502655214,doi:10.1017/9781108674256.009,,,2020.0,1.0,9.0
omid:br/06502655108 doi:10.1017/9781108674256.004,The Discovery Of Mastery Pleasure,,,,The Joy Of Religion,62-92,2020-01-09,book chapter,Cambridge University Press (Cup),,omid:br/06502655108,doi:10.1017/9781108674256.004,,,2020.0,1.0,9.0
omid:br/06502655115 doi:10.1017/9781108674256.007,Church-Sect Theory And Pleasure,,,,The Joy Of Religion,144-169,2020-01-09,book chapter,Cambridge University Press (Cup),,omid:br/06502655115,doi:10.1017/9781108674256.007,,,2020.0,1.0,9.0
omid:br/06502655119 doi:10.1017/9781108674256.002,The Variety And Mystery Of Religious Pleasure,,,,The Joy Of Religion,17-39,2020-01-09,book chapter,Cambridge University Press (Cup),,omid:br/06502655119,doi:10.1017/9781108674256.002,,,2020.0,1.0,9.0
omid:br/06480116655 doi:10.37467/revhuman.v11.3497,Adaptive Resilience Building For Force Preservation To Battle Pandemic The Military Way,"Boe, Ole, Deshpande, Abhijit P., Joshi, Priya, Piotrowski, Andrzej, Rawat, Samir",2,11.0,HUMAN REVIEW. International Humanities Review / Revista Internacional De Humanidades,139-152,2022-12-13,journal article,Eagora Science,,omid:br/06480116655,doi:10.37467/revhuman.v11.3497,,,2022.0,12.0,13.0
omid:br/06480116729 doi:10.37467/revhuman.v12.3498,Understanding Leadership Effectiveness In The Wake Of Challenges: A Leadership Competency Model,"Boe, Ole, Deshpande, Abhijit P., Piotrowski, Andrzej, Rawat, Samir",1,12.0,HUMAN REVIEW. International Humanities Review / Revista Internacional De Humanidades,,2023-02-17,journal article,Eagora Science,,omid:br/06480116729,doi:10.37467/revhuman.v12.3498,,,2023.0,2.0,17.0
omid:br/06480117323 doi:10.1017/s0031182022001688,Revisiting Fecal Metatranscriptomics Analyses Of Macaques With Idiopathic Chronic Diarrhoea With A Focus On Trichomonad Parasites,"Bailey, Nicholas P., Hirt, Robert P.",3,150.0,Parasitology,248-261,2022-12-12,journal article,Cambridge University Press (Cup),,omid:br/06480117323,doi:10.1017/s0031182022001688,,,2022.0,12.0,12.0
omid:br/06370135503 doi:10.1007/s00240-023-01459-x,Efficacy And Safety Of Various Endosurgical Procedures For Management Of Large Renal Stone: A Systemic Review And Network Meta-Analysis Of Randomised Control Trials,"Alemu, Chalachew Tenna, Awedew, Atalel Fentahun, Yalew, Dawit Zerihun",1,51.0,Urolithiasis,,2023-06-08,journal article,Springer Science And Business Media Llc,,omid:br/06370135503,doi:10.1007/s00240-023-01459-x,,,2023.0,6.0,8.0
omid:br/06370137201 doi:10.1016/j.rcsop.2023.100339,Counselling Customers At Risk Of The Triple Whammy Effect At Community Pharmacies  A Feasibility Study,"Burghle, Alaa, Grnfeld, Sofie Brndal, Hamid, Hanar, Hansen, Rikke Nrgaard, Jrgensen, Anne Mette, Rossing, Charlotte Verner, Westergaard, Stine",,,Exploratory Research In Clinical And Social Pharmacy,100339-100339,2023-09,journal article,Elsevier Bv,,omid:br/06370137201,doi:10.1016/j.rcsop.2023.100339,,,2023.0,9.0,1.0
omid:br/06503361022 doi:10.1063/1.4820995,Effect Of Different Dispersants In Compressive Strength Of Carbon Fiber Cementitious Composites,"Lestari, Yulinda, Bahri, Saiful, Sugiarti, Eni, Ramadhan, Gilang, Akbar, Ari Yustisia, Martides, Erie, Khaerudini, Deni Shidqi",,,AIP Conference Proceedings,,2013,proceedings article,Aip Publishing,,omid:br/06503361022,doi:10.1063/1.4820995,,,2013.0,1.0,1.0
omid:br/06501850222 doi:10.1080/17439884.2011.637503,"Hype, Hope And ICT In Teacher Education: A Bernsteinian Perspective","Player-Koro, Catarina",1,38,"Learning, Media And Technology",26-40,2012-01-23,journal article,Informa Uk Limited,,omid:br/06501850222,doi:10.1080/17439884.2011.637503,,,2012.0,1.0,23.0
omid:br/06530113610 doi:10.1093/plcell/koad091,Synergistic Action Of The Arabidopsis Spliceosome Components PRP39a And SmD1b In Promoting Posttranscriptional Transgene Silencing,"Bazin, Jrmie, Blein, Thomas, Bouteiller, Nathalie, Cao, Jun, Crespi, Martin D, Elvira-Matelot, Emilie, Jauvion, Vincent, Vaucheret, Herv",6,35.0,The Plant Cell,1917-1935,2023-03-27,journal article,Oxford University Press (Oup),,omid:br/06530113610,doi:10.1093/plcell/koad091,,,2023.0,3.0,27.0
omid:br/06530113561 doi:10.1093/plcell/koad031,Anisotropic Cell Growth At The Leaf Base Promotes Age-Related Changes In Leaf Shape In Arabidopsis Thaliana,"Liu, Ye-Tong, Mai, Yan-Xia, Shang, Guan-Dong, Tang, Hong-Bo, Wang, Jia-Wei, Wang, Juan, Wang, Long, Xu, Zhou-Geng, Zhang, Tian-Qi",5,35.0,The Plant Cell,1386-1407,2023-02-07,journal article,Oxford University Press (Oup),,omid:br/06530113561,doi:10.1093/plcell/koad031,,,2023.0,2.0,7.0
omid:br/06530113538 doi:10.1186/s13030-023-00274-5,The Short- And Long-Term Effects Of Cognitive Behavioral Therapy On The Glycemic Control Of Diabetic Patients: A Systematic Review And Meta-Analysis,"Dong, Na, Wang, Xiaowei, Yang, Liu",1,17.0,BioPsychoSocial Medicine,,2023-05-08,journal article,Springer Science And Business Media Llc,,omid:br/06530113538,doi:10.1186/s13030-023-00274-5,,,2023.0,5.0,8.0
omid:br/06530113745 doi:10.1093/plcell/koac334,The Noncoding RNA HIDDEN TREASURE 1 Promotes Phytochrome B-dependent Seed Germination By Repressing Abscisic Acid Biosynthesis,"Deng, Xing Wang, Fan, De, Fan, Yangyang, Jiao, Yuntong, Wang, Yuqiu, Zhou, Xiaoli, Zhu, Danmeng",2,35.0,The Plant Cell,700-716,2022-11-25,journal article,Oxford University Press (Oup),,omid:br/06530113745,doi:10.1093/plcell/koac334,,,2022.0,11.0,25.0
omid:br/06530113290 doi:10.1007/s40192-023-00292-9,Bi-directional Scan Pattern Effects On Residual Stresses And Distortion In As-built Nitinol Parts: A Trend Analysis Simulation Study,"Afkham, Yalda, Brabazon, Dermot, Chekotu, Josiah C., Ekoi, Emmanuel J., Gaughran, Jennifer, Ginn, Jon, Gu, Hengfeng, Monu, Medad C.C., Teng, Chong",1,12.0,Integrating Materials And Manufacturing Innovation,52-69,2023-01-30,journal article,Springer Science And Business Media Llc,,omid:br/06530113290,doi:10.1007/s40192-023-00292-9,,,2023.0,1.0,30.0
omid:br/06530113746 doi:10.1093/plcell/koac337,Endosperm Cellularization Failure Induces A Dehydration-Stress Response Leading To Embryo Arrest,"Bente, Heinrich, Khler, Claudia, Santos-Gonzlez, Juan, Sato, Hikaru, Xu, Wenjia",2,35.0,The Plant Cell,874-888,2022-11-25,journal article,Oxford University Press (Oup),,omid:br/06530113746,doi:10.1093/plcell/koac337,,,2022.0,11.0,25.0
omid:br/06530113641 doi:10.1093/plcell/koad025,The Arabidopsis Transcription Factor NLP2 Regulates Early Nitrate Responses And Integrates Nitrate Assimilation With Energy And Carbon Skeleton Supply,"Brehaut, Virginie, Clement, Gilles, Durand, Mickal, Duville, Garry, Feil, Regina, Kelemen, Zsolt, Krapp, Anne, Launay-Avon, Alexandra, Lunn, John E, Mac, Julien, Roudier, Franois, Roux, Christine Paysant-Le",5,35.0,The Plant Cell,1429-1454,2023-02-08,journal article,Oxford University Press (Oup),,omid:br/06530113641,doi:10.1093/plcell/koad025,,,2023.0,2.0,8.0
omid:br/06530113472 doi:10.1007/978-3-031-25755-1_8,Imbalanced Data Handling For Deep Learning-Based Autonomous Crater Detection Algorithms In Terrain Relative Navigation,"Curti, Fabio, Latorre, Francesco, Spiller, Dario",,,Studies In Computational Intelligence,117-132,2023,book chapter,Springer Science And Business Media Llc,,omid:br/06530113472,doi:10.1007/978-3-031-25755-1_8,,,2023.0,1.0,1.0
omid:br/06530113564 doi:10.1093/plcell/koad108,Blue Light Promotes Ascorbate Synthesis By Deactivating The PAS/LOV Photoreceptor That Inhibits GDP-L-galactose Phosphorylase,"Baldet, Pierre, Bataille, Laure, Beven, Laure, Blomeier, Tim, Bournonville, Cline, Brs, Ccile, Cassan, Cdric, Decros, Guillaume, Deslous, Paul, Fernandez-Lochu, Lucie, Ferrand, Carine, Gadin, Stphanie, Gibon, Yves, Jorly, Joana, Just, Daniel, Maucourt, Mickael, Mauxion, Jean-Philippe, Miura, Kenji, Mori, Kentaro, Ptriacq, Pierre, Rothan, Christophe, Zurbriggen, Matias D",7,35.0,The Plant Cell,2615-2634,2023-04-13,journal article,Oxford University Press (Oup),,omid:br/06530113564,doi:10.1093/plcell/koad108,,,2023.0,4.0,13.0
omid:br/06530112741 doi:10.1371/journal.pgph.0002173,Transitions From Hospital To Home: A Mixed Methods Study To Evaluate Pediatric Discharges In Uganda,"Ansermino, J Mark, Derksen, Brooklyn, Duby, Jessica, Kabajaasi, Olive, Kenya-Mugisha, Nathan, Kissoon, Niranjan, Komugisha, Clare, Mwaka, Savio, Nsungwa-Sabiiti, Jesca, Trawin, Jessica, Waiswa, Peter, Wiens, Matthew O.",9,3.0,PLOS Global Public Health,e0002173-e0002173,2023-09-13,journal article,Public Library Of Science (PLoS),"Brault, Marie A. [omid:ra/06530313726]",omid:br/06530112741,doi:10.1371/journal.pgph.0002173,,,2023.0,9.0,13.0
omid:br/06530112307 doi:10.1371/journal.pgph.0000687,A State-Wide Implementation Of A Whole Of Hospital Sepsis Pathway With A Mortality Based Cost-Effectiveness Analysis From A Healthcare Sector Perspective,"Brusco, Natasha Kareem, Cheng, Allen C., Dinh, Tammy, Foster, Sarah, Radia-George, Camilla, Sullivan, Natalie, Sykes, Kelly, Thursky, Karin, Travis, Douglas, On Behalf Of The Safer Care Victoria Think Sepsis. Act Fast Scaling Collaboration",5,3.0,PLOS Global Public Health,e0000687-e0000687,2023-05-19,journal article,Public Library Of Science (PLoS),"Pai, Madhukar [omid:ra/06530309866]",omid:br/06530112307,doi:10.1371/journal.pgph.0000687,,,2023.0,5.0,19.0
omid:br/06530112618 doi:10.1371/journal.pgph.0001354,Feasibility And Usability Of A Very Low-Cost Bubble Continuous Positive Airway Pressure Device Including Oxygen Blenders In A Ugandan Level Two Newborn Unit,"Batra, Maneesh, Coffey, Patricia S, Hedstrom, Anna B., Mubiri, Paul, Nakakande, Josephine, Nakamura, Heidi, Namakula, Hilda, Niyonshaba, Beatrice, Nyonyintono, James, Saxon, Eugene A., Simpson, Noelle, Vaughan, Madeline, Waiswa, Peter, Wollen, Alec",3,3.0,PLOS Global Public Health,e0001354-e0001354,2023-03-08,journal article,Public Library Of Science (PLoS),"Graham, Hamish R. [omid:ra/06530312628]",omid:br/06530112618,doi:10.1371/journal.pgph.0001354,,,2023.0,3.0,8.0
omid:br/06530112627 doi:10.1371/journal.pgph.0001584,Image-based Surgical Site Infection Algorithms To Support Home-Based Post-Cesarean Monitoring: Lessons From Rwanda,"Abimpaye, Monique, Alayande, Barnabas Tobi, Bakorimana, Laban, Cubaka, Vincent K., Fletcher, Richard, Hedt-Gauthier, Bethany, Kateera, Fredrick, Niyigena, Anne, Nkurunziza, Jonathan, Prasad, Siona",2,3.0,PLOS Global Public Health,e0001584-e0001584,2023-02-13,journal article,Public Library Of Science (PLoS),"Pai, Madhukar [omid:ra/06530312703]",omid:br/06530112627,doi:10.1371/journal.pgph.0001584,,,2023.0,2.0,13.0
omid:br/06530112519 doi:10.1371/journal.pgph.0001557,Interventions To Reduce Deaths In People Living With HIV Admitted To Hospital In Low- And Middle-Income Countries: A Systematic Review,"Burke, Rachael, Corbett, Elizabeth L., Fielding, Katherine, Ford, Nathan, Gupta-Wright, Ankur, Johnston, Cheryl, MacPherson, Peter, Nliwasa, Marriott, Twabi, Hussein H.",2,3.0,PLOS Global Public Health,e0001557-e0001557,2023-02-22,journal article,Public Library Of Science (PLoS),"Musuka, Godfrey Nyangadzayi [omid:ra/06530311729]",omid:br/06530112519,doi:10.1371/journal.pgph.0001557,,,2023.0,2.0,22.0
omid:br/06530112744 doi:10.1371/journal.pgph.0002267,Rapid Detection Of Myeloid Neoplasm Fusions Using Single-Molecule Long-Read Sequencing,"Beppu, Lan, Hung, Ling-Hong, Radich, Jerald, Reddy, Shishir, Sala-Torra, Olga, Wu, David, Yeung, Cecilia C. S., Yeung, Ka Yee",9,3.0,PLOS Global Public Health,e0002267-e0002267,2023-09-12,journal article,Public Library Of Science (PLoS),"Robinson, Julia [omid:ra/06530313750]",omid:br/06530112744,doi:10.1371/journal.pgph.0002267,,,2023.0,9.0,12.0
omid:br/06530112064 doi:10.1371/journal.pgph.0001216,Alcohol Use And Associated Risk Factors Among Female Sex Workers In Low- And Middle-Income Countries: A Systematic Review And Meta-Analysis,"Beattie, Tara, Beksinska, Alicja, Gafos, Mitzy, Karlsen, Oda",6,3.0,PLOS Global Public Health,e0001216-e0001216,2023-06-13,journal article,Public Library Of Science (PLoS),"Banik, Palash Chandra [omid:ra/06530307756]",omid:br/06530112064,doi:10.1371/journal.pgph.0001216,,,2023.0,6.0,13.0
omid:br/06302524179 pmid:9073327 doi:10.3109/07853899708998746,Corticosteroid Resistance And Disease,"Derijk, Roel, Sternberg, Esther M.",1,29.0,Annals Of Medicine,79-82,1997-01,journal article,Informa Uk Limited,,omid:br/06302524179,doi:10.3109/07853899708998746,pmid:9073327,,1997.0,1.0,1.0
omid:br/06302524413 doi:10.3109/07853899509002464 pmid:8541027,Molecular Mechanisms Of Antiasthma Therapy,"Barnes, Peter",5,27.0,Annals Of Medicine,531-535,1995-01,journal article,Informa Uk Limited,,omid:br/06302524413,doi:10.3109/07853899509002464,pmid:8541027,,1995.0,1.0,1.0
omid:br/06320148867 doi:10.1016/j.jclepro.2023.137488,Exploring The Role Of Language In Shaping Corporate Environmental Practices,"El Ouadghiri, Imane, Gomes, Mathieu, Peillex, Jonathan, Pijourlet, Guillaume",,413,Journal Of Cleaner Production,137488-137488,2023-08,journal article,Elsevier Bv,,omid:br/06320148867,doi:10.1016/j.jclepro.2023.137488,,,2023.0,8.0,1.0
omid:br/06320141178 doi:10.1007/s10115-023-01970-y,A Review On Preprocessing Algorithm Selection With Meta-Learning,"Carvalho, Andr C. P. L. F. De, Garcia, Lus P. F., Pio, Pedro B., Rivolli, Adriano",,,Knowledge And Information Systems,,2023-08-28,journal article,Springer Science And Business Media Llc,,omid:br/06320141178,doi:10.1007/s10115-023-01970-y,,,2023.0,8.0,28.0
omid:br/06320142410 doi:10.1039/d3ra03259k,The Role Of Electrostatic Potential In The Translocation Of Triangulene Across Membranes,"Bai, Han, Li, Qianyan, Li, Youyun, Tang, Xiaofeng, Yu, Jinhui",31,13,RSC Advances,21545-21549,2023,journal article,Royal Society Of Chemistry (Rsc),,omid:br/06320142410,doi:10.1039/d3ra03259k,,,2023.0,1.0,1.0
omid:br/06320142257 doi:10.1039/d2ra07098g,"Atmospheric Microplastics: Exposure, Toxicity, And Detrimental Health Effects","Abad Lpez, Angela Patricia, Arana, Victoria A., Garcia-Alzate, Luz Stella, Grande-Tovar, Carlos David, Trilleras, Jorge",11,13,RSC Advances,7468-7489,2023,journal article,Royal Society Of Chemistry (Rsc),,omid:br/06320142257,doi:10.1039/d2ra07098g,,,2023.0,1.0,1.0
omid:br/06320142222 doi:10.1039/d2ra06858c,Metalorganic Frameworks Incorporating Azobenzene-Based Ligands As A Heterogeneous Lewis-acid Catalyst For Cyanosilylation Of Imines,"Huang, Zi-Qing, Saeed, Aasim, Sun, Wei-Yin, Xu, Lei, Zhang, Xiao-Yu, Zhao, Jing, Zhao, Xin-Yang, Zhao, Yue",54,12,RSC Advances,35461-35468,2022,journal article,Royal Society Of Chemistry (Rsc),,omid:br/06320142222,doi:10.1039/d2ra06858c,,,2022.0,1.0,1.0
omid:br/06320142267 doi:10.1039/d2ra06001a,Stabilisation And Reactivity Studies Of Donor-Base Ligand-Supported Gallium-Phosphides With Stronger Binding Energy: A Theoretical Approach,"Francis, Maria, Roy, Sudipta",12,13,RSC Advances,7738-7751,2023,journal article,Royal Society Of Chemistry (Rsc),,omid:br/06320142267,doi:10.1039/d2ra06001a,,,2023.0,1.0,1.0
omid:br/06402699404 doi:10.1093/oso/9780192846938.003.0013,Public Expenditure,"Zouhar, Younes, Jellema, Jon, Lustig, Nora, Trabelsi, Mohamed",,,How To Achieve Inclusive Growth,457-496,2021-12-16,book chapter,Oxford University Press (Oup),,omid:br/06402699404,doi:10.1093/oso/9780192846938.003.0013,,,2021.0,12.0,16.0
omid:br/06402694046 doi:10.1145/3308557.3308660,Engagement Estimation Based On Synchrony Of Head Movements,"Kawamura, Ryosuke, Toyoda, Yuushi, Niinuma, Koichiro",,,Proceedings Of The 24Th International Conference On Intelligent User Interfaces: Companion,,2019-03-16,proceedings article,Association For Computing Machinery (Acm),,omid:br/06402694046,doi:10.1145/3308557.3308660,,,2019.0,3.0,16.0
omid:br/06340186727 doi:10.1134/s0965542523030065,Review Of The Theory Of Stable Matchings And Contract Systems,"Danilov, V. I.",3,63,Computational Mathematics And Mathematical Physics,466-490,2023-03,journal article,Pleiades Publishing Ltd,,omid:br/06340186727,doi:10.1134/s0965542523030065,,,2023.0,3.0,1.0
omid:br/06340138494 doi:10.1002/dmrr.3655,"Probiotics, Prebiotics, And Synbiotics In Type 1 Diabetes Mellitus: A Systematic Review And MetaAnalysis Of Clinical Trials","McGrattan, Andrea, Moravejolahkami, Amir Reza, Shakibaei, Mehdi, Sharma, Manoj",,,Diabetes/Metabolism Research And Reviews,,2023-05-14,journal article,Wiley,,omid:br/06340138494,doi:10.1002/dmrr.3655,,,2023.0,5.0,14.0
omid:br/06340135515 doi:10.31004/obsesi.v6i2.1677,Panduan Mengidentifikasi Anak Berkebutuhan Khusus Di Sekolah Inklusi,"Ashari, Debby Ashari",2,6.0,Jurnal Obsesi : Jurnal Pendidikan Anak Usia Dini,1095-1110,2021-08-07,journal article,Universitas Pahlawan Tuanku Tambusai,,omid:br/06340135515,doi:10.31004/obsesi.v6i2.1677,,,2021.0,8.0,7.0
omid:br/06340131472 doi:10.1007/978-3-031-28238-6_60,Evolution Of Filter Bubbles And Polarization In News Recommendation,"Caverlee, James, Zhang, Han, Zhu, Ziwei",,,Lecture Notes In Computer Science,685-693,2023,book chapter,Springer Science And Business Media Llc,,omid:br/06340131472,doi:10.1007/978-3-031-28238-6_60,,,2023.0,1.0,1.0
omid:br/062202839519 doi:10.1007/s10212-019-00458-0,Emotionally Intelligent Students Are More Engaged And Successful: Examining The Role Of Emotional Intelligence In Higher Education,"Zhoc, Karen C. H., King, Ronnel Bornasal, Chung, Tony S. H., Chen, Junjun",4,35.0,European Journal Of Psychology Of Education,839-863,2020-01-21,journal article,Springer Science And Business Media Llc,,omid:br/062202839519,doi:10.1007/s10212-019-00458-0,,,2020.0,1.0,21.0
omid:br/062202839377 doi:10.1007/s10212-022-00617-w,"Cyberloafing Among Gen Z Students: The Role Of Norms, Moral Disengagement, Multitasking Self-Efficacy, And Psychological Outcomes","Miheli, Katarina Katja, Lim, Vivien Kim Geok, Culiberg, Barbara",,,European Journal Of Psychology Of Education,,2022-04-19,journal article,Springer Science And Business Media Llc,,omid:br/062202839377,doi:10.1007/s10212-022-00617-w,,,2022.0,4.0,19.0
omid:br/06701785594 pmid:23086754 doi:10.1182/blood-2012-09-355958,Matrix Metalloproteases And PAR1 Activation,"Austin, Karyn M., Covic, Lidija, Kuliopulos, Athan",3,121,Blood,431-439,2013-01-17,journal article,American Society Of Hematology,,omid:br/06701785594,doi:10.1182/blood-2012-09-355958,pmid:23086754,,2013.0,1.0,17.0
omid:br/06160301077 doi:10.1038/mi.2015.120 pmid:26577570,Restoring Cigarette Smoke-Induced Impairment Of Efferocytosis In Alveolar Macrophages,"Subramaniam, R, Mukherjee, Sanjay, Chen, H, Keshava, S, Neuenschwander, P, Shams, H",4.0,9.0,Mucosal Immunology,873-883,2015-11-18,journal article,Springer Science And Business Media Llc,,omid:br/06160301077,doi:10.1038/mi.2015.120,pmid:26577570,,2015.0,11.0,18.0
omid:br/06604400878 doi:10.1016/j.cplett.2023.140752,Co9S8 With Core-Shell Structure Supported S/N Co-Doped Carbon Nanosheets For Effective Bifunctional Electrocatalysts For Rechargeable Zn-air Battery,"Wang, Chenhao, Wang, Yuzhuo, Xie, Junlong, Yang, Xiaolong, Zhao, Yu",,829.0,Chemical Physics Letters,140752-140752,2023-10,journal article,Elsevier Bv,,omid:br/06604400878,doi:10.1016/j.cplett.2023.140752,,,2023.0,10.0,1.0
omid:br/06604402880 doi:10.1016/j.epsr.2023.109361,Precise Transformer Fault Diagnosis Via Random Forest Model Enhanced By Synthetic Minority Over-Sampling Technique,"Apriyani, Meyti Eka, Darwish, Mohamed M.F., Ekojono,, Ghoneim, Sherif S.M., Lehtonen, Matti, Mahmoud, Karar, Prasojo, Rahman Azis, Putra, Muhammad Akmal A., Rahmanto, Anugrah Nur",,220.0,Electric Power Systems Research,109361-109361,2023-07,journal article,Elsevier Bv,,omid:br/06604402880,doi:10.1016/j.epsr.2023.109361,,,2023.0,7.0,1.0
omid:br/06604402857 doi:10.1016/j.epsr.2023.109340,A Machine Learning Approach For Condition Monitoring Of High Voltage Insulators In Polluted Environments,"Sanz-Bobi, Miguel ngel, De Santos, Hctor",,220.0,Electric Power Systems Research,109340-109340,2023-07,journal article,Elsevier Bv,,omid:br/06604402857,doi:10.1016/j.epsr.2023.109340,,,2023.0,7.0,1.0
omid:br/061402821730 doi:10.1002/adfm.202102314,Interfacial Engineering Of Bifunctional Niobium (V)Based Heterostructure Nanosheet Toward High Efficiency LeanElectrolyte LithiumSulfur Full Batteries,"Shi, Haodong, Qin, Jieqiong, Lu, Pengfei, Dong, Cong, He, Jian, Chou, Xiujian, Das, Pratteek, Wang, Jiemin, Zhang, Liangzhu, Wu, Zhongshuai",28,31.0,Advanced Functional Materials,2102314-2102314,2021-04-28,journal article,Wiley,,omid:br/061402821730,doi:10.1002/adfm.202102314,,,2021.0,4.0,28.0
omid:br/06901874743 pmid:35812997 doi:10.1016/j.eclinm.2022.101535,Toxicity Spectrum Of Immunotherapy In Advanced Lung Cancer: A Safety Analysis From Clinical Trials And A Pharmacovigilance System,"Yan, Yi-Dan, Zhao, Ying, Zhang, Chi, Fu, Jie, Su, Ying-Jie, Cui, Xiang-Li, Ma, Er-Li, Liu, Bing-Long, Gu, Zhi-Chun, Lin, Hou-Wen",,50.0,EClinicalMedicine,101535-101535,2022-08,journal article,Elsevier Bv,,omid:br/06901874743,doi:10.1016/j.eclinm.2022.101535,pmid:35812997,,2022.0,8.0,1.0
omid:br/06204444025 doi:10.1007/s00894-023-05503-w,In Silico Designing Of A Novel Polyvalent Multi-Subunit Peptide Vaccine Leveraging Cross-Immunity Against Human Visceral And Cutaneous Leishmaniasis: An Immunoinformatics-Based Approach,"Banerjee, Monojit, Bhattacharjee, Mainak, Mukherjee, Arun",4,29.0,Journal Of Molecular Modeling,,2023-03-16,journal article,Springer Science And Business Media Llc,,omid:br/06204444025,doi:10.1007/s00894-023-05503-w,,,2023.0,3.0,16.0
